ID,invoiceNo,invoiceDate,dueDate,salesOrder_ID,netAmount,taxAmount,totalAmount,currency,status,createdAt,createdBy,modifiedAt,modifiedBy
c3d4e5f6-7a81-4b90-9234-56789abcde01,INV100001,2026-02-02,2026-03-04,a1b2c3d4-5e6f-4789-9012-3456789abc01,1576271.19,272728.81,1850000,INR,PAID,2026-02-02T09:00:00Z,admin,2026-03-01T10:00:00Z,admin
c3d4e5f6-7a81-4b90-9234-56789abcde02,INV100002,2026-02-04,2026-03-06,a1b2c3d4-5e6f-4789-9012-3456789abc02,813559.32,146440.68,960000,INR,POSTED,2026-02-04T09:30:00Z,admin,2026-02-05T11:00:00Z,admin
c3d4e5f6-7a81-4b90-9234-56789abcde03,INV100003,2026-02-06,2026-03-08,a1b2c3d4-5e6f-4789-9012-3456789abc03,2076271.19,373728.81,2450000,INR,POSTED,2026-02-06T10:30:00Z,manager,2026-02-08T09:45:00Z,manager
c3d4e5f6-7a81-4b90-9234-56789abcde04,INV100004,2026-02-08,2026-03-10,a1b2c3d4-5e6f-4789-9012-3456789abc04,1084745.76,195254.24,1280000,INR,DRAFT,2026-02-08T09:00:00Z,admin,2026-02-08T09:00:00Z,admin
c3d4e5f6-7a81-4b90-9234-56789abcde05,INV100005,2026-02-10,2026-03-12,a1b2c3d4-5e6f-4789-9012-3456789abc05,610169.49,109830.51,720000,INR,CANCELLED,2026-02-10T10:00:00Z,admin,2026-02-11T12:00:00Z,admin
c3d4e5f6-7a81-4b90-9234-56789abcde06,INV100006,2026-02-12,2026-03-14,a1b2c3d4-5e6f-4789-9012-3456789abc06,2627118.64,472881.36,3100000,INR,POSTED,2026-02-12T09:15:00Z,manager,2026-02-14T10:30:00Z,manager
c3d4e5f6-7a81-4b90-9234-56789abcde07,INV100007,2026-02-14,2026-03-16,a1b2c3d4-5e6f-4789-9012-3456789abc07,1483050.85,266949.15,1750000,INR,PAID,2026-02-14T09:00:00Z,admin,2026-03-10T11:15:00Z,admin
c3d4e5f6-7a81-4b90-9234-56789abcde08,INV100008,2026-02-16,2026-03-18,a1b2c3d4-5e6f-4789-9012-3456789abc08,24152.54,4347.46,28500,GBP,PAID,2026-02-16T10:00:00Z,admin,2026-03-12T10:00:00Z,admin
c3d4e5f6-7a81-4b90-9234-56789abcde09,INV100009,2026-02-18,2026-03-20,a1b2c3d4-5e6f-4789-9012-3456789abc09,35593.22,6406.78,42000,GBP,POSTED,2026-02-18T10:30:00Z,manager,2026-02-19T12:30:00Z,manager
c3d4e5f6-7a81-4b90-9234-56789abcde10,INV100010,2026-02-20,2026-03-22,a1b2c3d4-5e6f-4789-9012-3456789abc10,1567796.61,282203.39,1850000,THB,POSTED,2026-02-20T09:00:00Z,admin,2026-02-22T09:45:00Z,admin
c3d4e5f6-7a81-4b90-9234-56789abcde11,INV100011,2026-02-22,2026-03-24,a1b2c3d4-5e6f-4789-9012-3456789abc11,805084745.76,144915254.24,950000000,IDR,DRAFT,2026-02-22T09:30:00Z,admin,2026-02-22T09:30:00Z,admin
c3d4e5f6-7a81-4b90-9234-56789abcde12,INV100012,2026-02-24,2026-03-26,a1b2c3d4-5e6f-4789-9012-3456789abc12,105932.20,19067.80,125000,BRL,POSTED,2026-02-24T10:00:00Z,manager,2026-02-25T11:00:00Z,manager
c3d4e5f6-7a81-4b90-9234-56789abcde13,INV100013,2026-02-26,2026-03-28,a1b2c3d4-5e6f-4789-9012-3456789abc13,72033898.31,12966101.69,85000000,ARS,PAID,2026-02-26T09:15:00Z,admin,2026-03-15T10:15:00Z,admin
c3d4e5f6-7a81-4b90-9234-56789abcde14,INV100014,2026-02-28,2026-03-30,a1b2c3d4-5e6f-4789-9012-3456789abc14,148305.08,26694.92,175000,AED,POSTED,2026-02-28T10:00:00Z,admin,2026-03-02T11:30:00Z,admin
c3d4e5f6-7a81-4b90-9234-56789abcde15,INV100015,2026-03-02,2026-04-01,a1b2c3d4-5e6f-4789-9012-3456789abc15,1822033.90,327966.10,2150000,INR,DRAFT,2026-03-02T10:30:00Z,manager,2026-03-02T10:30:00Z,manager
