ID,salesOrderNo,orderDate,plant_ID,totalOrderPrice,currency,status,createdAt,createdBy,modifiedAt,modifiedBy
a1b2c3d4-5e6f-4789-9012-3456789abc01,SO100001,2026-02-01,7b9c1d2e-4f63-4a81-9c25-1e8b6d3f7001,1850000,INR,COMPLETED,2026-02-01T08:30:00Z,admin,2026-02-05T10:00:00Z,admin
a1b2c3d4-5e6f-4789-9012-3456789abc02,SO100002,2026-02-03,7b9c1d2e-4f63-4a81-9c25-1e8b6d3f7001,960000,INR,CONFIRMED,2026-02-03T09:15:00Z,admin,2026-02-04T11:30:00Z,admin
a1b2c3d4-5e6f-4789-9012-3456789abc03,SO100003,2026-02-05,7b9c1d2e-4f63-4a81-9c25-1e8b6d3f7002,2450000,INR,IN_PROGRESS,2026-02-05T10:00:00Z,manager,2026-02-07T09:45:00Z,manager
a1b2c3d4-5e6f-4789-9012-3456789abc04,SO100004,2026-02-07,7b9c1d2e-4f63-4a81-9c25-1e8b6d3f7002,1280000,INR,CREATED,2026-02-07T08:45:00Z,admin,2026-02-07T08:45:00Z,admin
a1b2c3d4-5e6f-4789-9012-3456789abc05,SO100005,2026-02-09,7b9c1d2e-4f63-4a81-9c25-1e8b6d3f7003,720000,INR,CANCELLED,2026-02-09T10:30:00Z,admin,2026-02-10T12:00:00Z,admin
a1b2c3d4-5e6f-4789-9012-3456789abc06,SO100006,2026-02-11,7b9c1d2e-4f63-4a81-9c25-1e8b6d3f7004,3100000,INR,IN_PROGRESS,2026-02-11T09:00:00Z,manager,2026-02-13T10:30:00Z,manager
a1b2c3d4-5e6f-4789-9012-3456789abc07,SO100007,2026-02-13,7b9c1d2e-4f63-4a81-9c25-1e8b6d3f7004,1750000,INR,COMPLETED,2026-02-13T08:30:00Z,admin,2026-02-15T11:15:00Z,admin
a1b2c3d4-5e6f-4789-9012-3456789abc08,SO100008,2026-02-15,7b9c1d2e-4f63-4a81-9c25-1e8b6d3f7005,28500,GBP,COMPLETED,2026-02-15T09:30:00Z,admin,2026-02-20T10:00:00Z,admin
a1b2c3d4-5e6f-4789-9012-3456789abc09,SO100009,2026-02-17,7b9c1d2e-4f63-4a81-9c25-1e8b6d3f7005,42000,GBP,CONFIRMED,2026-02-17T10:15:00Z,manager,2026-02-18T12:30:00Z,manager
a1b2c3d4-5e6f-4789-9012-3456789abc10,SO100010,2026-02-19,7b9c1d2e-4f63-4a81-9c25-1e8b6d3f7006,1850000,THB,IN_PROGRESS,2026-02-19T08:30:00Z,admin,2026-02-21T09:45:00Z,admin
a1b2c3d4-5e6f-4789-9012-3456789abc11,SO100011,2026-02-21,7b9c1d2e-4f63-4a81-9c25-1e8b6d3f7007,950000000,IDR,CREATED,2026-02-21T09:00:00Z,admin,2026-02-21T09:00:00Z,admin
a1b2c3d4-5e6f-4789-9012-3456789abc12,SO100012,2026-02-23,7b9c1d2e-4f63-4a81-9c25-1e8b6d3f7008,125000,BRL,CONFIRMED,2026-02-23T10:30:00Z,manager,2026-02-24T11:00:00Z,manager
a1b2c3d4-5e6f-4789-9012-3456789abc13,SO100013,2026-02-25,7b9c1d2e-4f63-4a81-9c25-1e8b6d3f7009,85000000,ARS,COMPLETED,2026-02-25T08:45:00Z,admin,2026-02-28T10:15:00Z,admin
a1b2c3d4-5e6f-4789-9012-3456789abc14,SO100014,2026-02-27,7b9c1d2e-4f63-4a81-9c25-1e8b6d3f7010,175000,AED,IN_PROGRESS,2026-02-27T09:30:00Z,admin,2026-03-01T11:30:00Z,admin
a1b2c3d4-5e6f-4789-9012-3456789abc15,SO100015,2026-03-01,7b9c1d2e-4f63-4a81-9c25-1e8b6d3f7001,2150000,INR,CREATED,2026-03-01T10:00:00Z,manager,2026-03-01T10:00:00Z
