ID,huNumber,commodity,ModelFamilies_ID,createdAt,createdBy,modifiedAt,modifiedBy
20000001-0001-0001-0001-000000000001,HU-C350-001,Engine,10000001-0001-0001-0001-000000000001,2026-09-15T10:00:00Z,system,2026-09-15T10:00:00Z,system
20000001-0001-0001-0001-000000000002,HU-C350-002,Fuel System,10000001-0001-0001-0001-000000000001,2026-09-15T10:01:00Z,system,2026-09-15T10:01:00Z,system
20000001-0001-0001-0001-000000000003,HU-C350-003,Electrical,10000001-0001-0001-0001-000000000001,2026-09-15T10:02:00Z,system,2026-09-15T10:02:00Z,system
20000001-0001-0001-0001-000000000004,HU-C350-004,Front Assembly,10000001-0001-0001-0001-000000000001,2026-09-15T10:03:00Z,system,2026-09-15T10:03:00Z,system
20000001-0001-0001-0001-000000000005,HU-C350-005,Rear Assembly,10000001-0001-0001-0001-000000000001,2026-09-15T10:04:00Z,system,2026-09-15T10:04:00Z,system
20000001-0001-0001-0001-000000000006,HU-C350-006,Frame & Chassis,10000001-0001-0001-0001-000000000001,2026-09-15T10:05:00Z,system,2026-09-15T10:05:00Z,system
20000001-0001-0001-0001-000000000007,HU-C350-007,Exhaust,10000001-0001-0001-0001-000000000001,2026-09-15T10:06:00Z,system,2026-09-15T10:06:00Z,system
20000001-0001-0001-0001-000000000008,HU-C350-008,Accessories,10000001-0001-0001-0001-000000000001,2026-09-15T10:07:00Z,system,2026-09-15T10:07:00Z,system
20000001-0001-0001-0001-000000000009,HU-C500-001,Engine,10000001-0001-0001-0001-000000000002,2026-09-15T10:10:00Z,system,2026-09-15T10:10:00Z,system
20000001-0001-0001-0001-000000000010,HU-C500-002,Fuel System,10000001-0001-0001-0001-000000000002,2026-09-15T10:11:00Z,system,2026-09-15T10:11:00Z,system
20000001-0001-0001-0001-000000000011,HU-C500-003,Electrical,10000001-0001-0001-0001-000000000002,2026-09-15T10:12:00Z,system,2026-09-15T10:12:00Z,system
20000001-0001-0001-0001-000000000012,HU-C500-004,Front Assembly,10000001-0001-0001-0001-000000000002,2026-09-15T10:13:00Z,system,2026-09-15T10:13:00Z,system
20000001-0001-0001-0001-000000000013,HU-C500-005,Rear Assembly,10000001-0001-0001-0001-000000000002,2026-09-15T10:14:00Z,system,2026-09-15T10:14:00Z,system
20000001-0001-0001-0001-000000000014,HU-C500-006,Frame & Chassis,10000001-0001-0001-0001-000000000002,2026-09-15T10:15:00Z,system,2026-09-15T10:15:00Z,system
20000001-0001-0001-0001-000000000015,HU-C500-007,Exhaust,10000001-0001-0001-0001-000000000002,2026-09-15T10:16:00Z,system,2026-09-15T10:16:00Z,system
20000001-0001-0001-0001-000000000016,HU-C500-008,Accessories,10000001-0001-0001-0001-000000000002,2026-09-15T10:17:00Z,system,2026-09-15T10:17:00Z,system
20000001-0001-0001-0001-000000000017,HU-CC-001,Engine,10000001-0001-0001-0001-000000000003,2026-09-15T10:20:00Z,system,2026-09-15T10:20:00Z,system
20000001-0001-0001-0001-000000000018,HU-CC-002,Fuel System,10000001-0001-0001-0001-000000000003,2026-09-15T10:21:00Z,system,2026-09-15T10:21:00Z,system
20000001-0001-0001-0001-000000000019,HU-CC-003,Electrical,10000001-0001-0001-0001-000000000003,2026-09-15T10:22:00Z,system,2026-09-15T10:22:00Z,system
20000001-0001-0001-0001-000000000020,HU-CC-004,Front Assembly,10000001-0001-0001-0001-000000000003,2026-09-15T10:23:00Z,system,2026-09-15T10:23:00Z,system
20000001-0001-0001-0001-000000000021,HU-CC-005,Rear Assembly,10000001-0001-0001-0001-000000000003,2026-09-15T10:24:00Z,system,2026-09-15T10:24:00Z,system
20000001-0001-0001-0001-000000000022,HU-CC-006,Frame & Chassis,10000001-0001-0001-0001-000000000003,2026-09-15T10:25:00Z,system,2026-09-15T10:25:00Z,system
20000001-0001-0001-0001-000000000023,HU-CC-007,Exhaust,10000001-0001-0001-0001-000000000003,2026-09-15T10:26:00Z,system,2026-09-15T10:26:00Z,system
20000001-0001-0001-0001-000000000024,HU-CC-008,Accessories,10000001-0001-0001-0001-000000000003,2026-09-15T10:27:00Z,system,2026-09-15T10:27:00Z,system
20000001-0001-0001-0001-000000000025,HU-M350-001,Engine,10000001-0001-0001-0001-000000000004,2026-09-15T10:30:00Z,system,2026-09-15T10:30:00Z,system
20000001-0001-0001-0001-000000000026,HU-M350-002,Fuel System,10000001-0001-0001-0001-000000000004,2026-09-15T10:31:00Z,system,2026-09-15T10:31:00Z,system
20000001-0001-0001-0001-000000000027,HU-M350-003,Electrical,10000001-0001-0001-0001-000000000004,2026-09-15T10:32:00Z,system,2026-09-15T10:32:00Z,system
20000001-0001-0001-0001-000000000028,HU-M350-004,Front Assembly,10000001-0001-0001-0001-000000000004,2026-09-15T10:33:00Z,system,2026-09-15T10:33:00Z,system
20000001-0001-0001-0001-000000000029,HU-M350-005,Rear Assembly,10000001-0001-0001-0001-000000000004,2026-09-15T10:34:00Z,system,2026-09-15T10:34:00Z,system
20000001-0001-0001-0001-000000000030,HU-M350-006,Frame & Chassis,10000001-0001-0001-0001-000000000004,2026-09-15T10:35:00Z,system,2026-09-15T10:35:00Z,system
20000001-0001-0001-0001-000000000031,HU-M350-007,Exhaust,10000001-0001-0001-0001-000000000004,2026-09-15T10:36:00Z,system,2026-09-15T10:36:00Z,system
20000001-0001-0001-0001-000000000032,HU-M350-008,Accessories,10000001-0001-0001-0001-000000000004,2026-09-15T10:37:00Z,system,2026-09-15T10:37:00Z,system
20000001-0001-0001-0001-000000000033,HU-M650-001,Engine,10000001-0001-0001-0001-000000000005,2026-09-15T10:40:00Z,system,2026-09-15T10:40:00Z,system
20000001-0001-0001-0001-000000000034,HU-M650-002,Fuel System,10000001-0001-0001-0001-000000000005,2026-09-15T10:41:00Z,system,2026-09-15T10:41:00Z,system
20000001-0001-0001-0001-000000000035,HU-M650-003,Electrical,10000001-0001-0001-0001-000000000005,2026-09-15T10:42:00Z,system,2026-09-15T10:42:00Z,system
20000001-0001-0001-0001-000000000036,HU-M650-004,Front Assembly,10000001-0001-0001-0001-000000000005,2026-09-15T10:43:00Z,system,2026-09-15T10:43:00Z,system
20000001-0001-0001-0001-000000000037,HU-M650-005,Rear Assembly,10000001-0001-0001-0001-000000000005,2026-09-15T10:44:00Z,system,2026-09-15T10:44:00Z,system
20000001-0001-0001-0001-000000000038,HU-M650-006,Frame & Chassis,10000001-0001-0001-0001-000000000005,2026-09-15T10:45:00Z,system,2026-09-15T10:45:00Z,system
20000001-0001-0001-0001-000000000039,HU-M650-007,Exhaust,10000001-0001-0001-0001-000000000005,2026-09-15T10:46:00Z,system,2026-09-15T10:46:00Z,system
20000001-0001-0001-0001-000000000040,HU-M650-008,Accessories,10000001-0001-0001-0001-000000000005,2026-09-15T10:47:00Z,system,2026-09-15T10:47:00Z,system
20000001-0001-0001-0001-000000000041,HU-H350-001,Engine,10000001-0001-0001-0001-000000000006,2026-09-15T10:50:00Z,system,2026-09-15T10:50:00Z,system
20000001-0001-0001-0001-000000000042,HU-H350-002,Fuel System,10000001-0001-0001-0001-000000000006,2026-09-15T10:51:00Z,system,2026-09-15T10:51:00Z,system
20000001-0001-0001-0001-000000000043,HU-H350-003,Electrical,10000001-0001-0001-0001-000000000006,2026-09-15T10:52:00Z,system,2026-09-15T10:52:00Z,system
20000001-0001-0001-0001-000000000044,HU-H350-004,Front Assembly,10000001-0001-0001-0001-000000000006,2026-09-15T10:53:00Z,system,2026-09-15T10:53:00Z,system
20000001-0001-0001-0001-000000000045,HU-H350-005,Rear Assembly,10000001-0001-0001-0001-000000000006,2026-09-15T10:54:00Z,system,2026-09-15T10:54:00Z,system
20000001-0001-0001-0001-000000000046,HU-H350-006,Frame & Chassis,10000001-0001-0001-0001-000000000006,2026-09-15T10:55:00Z,system,2026-09-15T10:55:00Z,system
20000001-0001-0001-0001-000000000047,HU-H350-007,Exhaust,10000001-0001-0001-0001-000000000006,2026-09-15T10:56:00Z,system,2026-09-15T10:56:00Z,system
20000001-0001-0001-0001-000000000048,HU-H350-008,Accessories,10000001-0001-0001-0001-000000000006,2026-09-15T10:57:00Z,system,2026-09-15T10:57:00Z,system
20000001-0001-0001-0001-000000000049,HU-HST-001,Engine,10000001-0001-0001-0001-000000000007,2026-09-15T11:00:00Z,system,2026-09-15T11:00:00Z,system
20000001-0001-0001-0001-000000000050,HU-HST-002,Fuel System,10000001-0001-0001-0001-000000000007,2026-09-15T11:01:00Z,system,2026-09-15T11:01:00Z,system
20000001-0001-0001-0001-000000000051,HU-HST-003,Electrical,10000001-0001-0001-0001-000000000007,2026-09-15T11:02:00Z,system,2026-09-15T11:02:00Z,system
20000001-0001-0001-0001-000000000052,HU-HST-004,Front Assembly,10000001-0001-0001-0001-000000000007,2026-09-15T11:03:00Z,system,2026-09-15T11:03:00Z,system
20000001-0001-0001-0001-000000000053,HU-HST-005,Rear Assembly,10000001-0001-0001-0001-000000000007,2026-09-15T11:04:00Z,system,2026-09-15T11:04:00Z,system
20000001-0001-0001-0001-000000000054,HU-HST-006,Frame & Chassis,10000001-0001-0001-0001-000000000007,2026-09-15T11:05:00Z,system,2026-09-15T11:05:00Z,system
20000001-0001-0001-0001-000000000055,HU-HST-007,Exhaust,10000001-0001-0001-0001-000000000007,2026-09-15T11:06:00Z,system,2026-09-15T11:06:00Z,system
20000001-0001-0001-0001-000000000056,HU-HST-008,Accessories,10000001-0001-0001-0001-000000000007,2026-09-15T11:07:00Z,system,2026-09-15T11:07:00Z,system
20000001-0001-0001-0001-000000000057,HU-H411-001,Engine,10000001-0001-0001-0001-000000000008,2026-09-15T11:10:00Z,system,2026-09-15T11:10:00Z,system
20000001-0001-0001-0001-000000000058,HU-H411-002,Fuel System,10000001-0001-0001-0001-000000000008,2026-09-15T11:11:00Z,system,2026-09-15T11:11:00Z,system
20000001-0001-0001-0001-000000000059,HU-H411-003,Electrical,10000001-0001-0001-0001-000000000008,2026-09-15T11:12:00Z,system,2026-09-15T11:12:00Z,system
