ID,familyName,description,modelGroups_ID,createdAt,createdBy,modifiedAt,modifiedBy
10000001-0001-0001-0001-000000000001,Classic 350,Classic 350 motorcycle model family,11111111-1111-1111-1111-111111111111,2026-09-15T09:30:00Z,system,2026-09-15T09:30:00Z,system
10000001-0001-0001-0001-000000000002,Classic 500,Classic 500 motorcycle model family,11111111-1111-1111-1111-111111111111,2026-09-15T09:31:00Z,system,2026-09-15T09:31:00Z,system
10000001-0001-0001-0001-000000000003,Classic Chrome,Classic Chrome motorcycle model family,11111111-1111-1111-1111-111111111111,2026-09-15T09:32:00Z,system,2026-09-15T09:32:00Z,system
10000001-0001-0001-0001-000000000004,Meteor 350,Meteor 350 motorcycle model family,22222222-2222-2222-2222-222222222222,2026-09-15T09:33:00Z,system,2026-09-15T09:33:00Z,system
10000001-0001-0001-0001-000000000005,Meteor 650,Meteor 650 motorcycle model family,22222222-2222-2222-2222-222222222222,2026-09-15T09:34:00Z,system,2026-09-15T09:34:00Z,system
10000001-0001-0001-0001-000000000006,Hunter 350,Hunter 350 motorcycle model family,33333333-3333-3333-3333-333333333333,2026-09-15T09:35:00Z,system,2026-09-15T09:35:00Z,system
10000001-0001-0001-0001-000000000007,Hunter Street,Hunter Street motorcycle model family,33333333-3333-3333-3333-333333333333,2026-09-15T09:36:00Z,system,2026-09-15T09:36:00Z,system
10000001-0001-0001-0001-000000000008,Himalayan 411,Himalayan 411 motorcycle model family,44444444-4444-4444-4444-444444444444,2026-09-15T09:37:00Z,system,2026-09-15T09:37:00Z,system
10000001-0001-0001-0001-000000000009,Himalayan 450,Himalayan 450 motorcycle model family,44444444-4444-4444-4444-444444444444,2026-09-15T09:38:00Z,system,2026-09-15T09:38:00Z,system
10000001-0001-0001-0001-000000000010,Himalayan Adventure,Himalayan Adventure motorcycle model family,44444444-4444-4444-4444-444444444444,2026-09-15T09:39:00Z,system,2026-09-15T09:39:00Z,system
10000001-0001-0001-0001-000000000011,Interceptor 650,Interceptor 650 motorcycle model family,55555555-5555-5555-5555-555555555555,2026-09-15T09:40:00Z,system,2026-09-15T09:40:00Z,system
10000001-0001-0001-0001-000000000012,Interceptor Chrome,Interceptor Chrome motorcycle model family,55555555-5555-5555-5555-555555555555,2026-09-15T09:41:00Z,system,2026-09-15T09:41:00Z,system
10000001-0001-0001-0001-000000000013,Interceptor Custom,Interceptor Custom motorcycle model family,55555555-5555-5555-5555-555555555555,2026-09-15T09:42:00Z,system,2026-09-15T09:42:00Z,system
10000001-0001-0001-0001-000000000014,Continental GT 650,Continental GT 650 motorcycle model family,55555555-5555-5555-5555-555555555555,2026-09-15T09:43:00Z,system,2026-09-15T09:43:00Z,system
10000001-0001-0001-0001-000000000015,Continental GT Chrome,Continental GT Chrome motorcycle model family,55555555-5555-5555-5555-555555555555,2026-09-15T09:44:00Z,system,2026-09-15T09:44:00Z,system
