ID,invoiceNo,invoiceDate,dueDate,salesOrder_ID,netAmount,taxAmount,totalAmount,currency,status,createdAt,createdBy,modifiedAt,modifiedBy
35000001-0001-0001-0001-000000000001,INV-IN-20260001,2026-09-02,2026-10-02,33000001-0001-0001-0001-000000000001,825000.00,148500.00,973500.00,INR,POSTED,2026-09-15T14:00:00Z,system,2026-09-15T14:00:00Z,system
35000001-0001-0001-0001-000000000002,INV-IN-20260002,2026-09-03,2026-10-03,33000001-0001-0001-0001-000000000002,730000.00,131400.00,861400.00,INR,PAID,2026-09-15T14:01:00Z,system,2026-09-15T14:01:00Z,system
35000001-0001-0001-0001-000000000003,INV-TH-20260001,2026-09-04,2026-10-04,33000001-0001-0001-0001-000000000003,1050000.00,73500.00,1123500.00,THB,POSTED,2026-09-15T14:02:00Z,system,2026-09-15T14:02:00Z,system
35000001-0001-0001-0001-000000000004,INV-TH-20260002,2026-09-05,2026-10-05,33000001-0001-0001-0001-000000000004,980000.00,68600.00,1048600.00,THB,POSTED,2026-09-15T14:03:00Z,system,2026-09-15T14:03:00Z,system
35000001-0001-0001-0001-000000000005,INV-BR-20260001,2026-09-06,2026-10-06,33000001-0001-0001-0001-000000000005,48000.00,5760.00,53760.00,BRL,POSTED,2026-09-15T14:04:00Z,system,2026-09-15T14:04:00Z,system
35000001-0001-0001-0001-000000000006,INV-BR-20260002,2026-09-07,2026-10-07,33000001-0001-0001-0001-000000000006,52000.00,6240.00,58240.00,BRL,PAID,2026-09-15T14:05:00Z,system,2026-09-15T14:05:00Z,system
35000001-0001-0001-0001-000000000007,INV-AR-20260001,2026-09-08,2026-10-08,33000001-0001-0001-0001-000000000007,18500000.00,3885000.00,22385000.00,ARS,DRAFT,2026-09-15T14:06:00Z,system,2026-09-15T14:06:00Z,system
35000001-0001-0001-0001-000000000008,INV-AR-20260002,2026-09-09,2026-10-09,33000001-0001-0001-0001-000000000008,21200000.00,4452000.00,25652000.00,ARS,DRAFT,2026-09-15T14:07:00Z,system,2026-09-15T14:07:00Z,system
35000001-0001-0001-0001-000000000009,INV-CO-20260001,2026-09-10,2026-10-10,33000001-0001-0001-0001-000000000009,985000000.00,187150000.00,1172150000.00,COP,POSTED,2026-09-15T14:08:00Z,system,2026-09-15T14:08:00Z,system
35000001-0001-0001-0001-000000000010,INV-CO-20260002,2026-09-11,2026-10-11,33000001-0001-0001-0001-000000000010,1120000000.00,212800000.00,1332800000.00,COP,POSTED,2026-09-15T14:09:00Z,system,2026-09-15T14:09:00Z,system
35000001-0001-0001-0001-000000000011,INV-ID-20260001,2026-09-12,2026-10-12,33000001-0001-0001-0001-000000000011,420000000.00,46200000.00,466200000.00,IDR,PAID,2026-09-15T14:10:00Z,system,2026-09-15T14:10:00Z,system
35000001-0001-0001-0001-000000000012,INV-ID-20260002,2026-09-13,2026-10-13,33000001-0001-0001-0001-000000000012,510000000.00,56100000.00,566100000.00,IDR,POSTED,2026-09-15T14:11:00Z,system,2026-09-15T14:11:00Z,system
35000001-0001-0001-0001-000000000013,INV-UK-20260001,2026-09-14,2026-10-14,33000001-0001-0001-0001-000000000013,18500.00,3700.00,22200.00,GBP,POSTED,2026-09-15T14:12:00Z,system,2026-09-15T14:12:00Z,system
35000001-0001-0001-0001-000000000014,INV-UK-20260002,2026-09-15,2026-10-15,33000001-0001-0001-0001-000000000014,22000.00,4400.00,26400.00,GBP,DRAFT,2026-09-15T14:13:00Z,system,2026-09-15T14:13:00Z,system
35000001-0001-0001-0001-000000000015,INV-AU-20260001,2026-09-15,2026-10-15,33000001-0001-0001-0001-000000000015,42000.00,4200.00,46200.00,AUD,POSTED,2026-09-15T14:14:00Z,system,2026-09-15T14:14:00Z,system
35000001-0001-0001-0001-000000000016,INV-AU-20260002,2026-09-15,2026-10-15,33000001-0001-0001-0001-000000000016,38500.00,3850.00,42350.00,AUD,DRAFT,2026-09-15T14:15:00Z,system,2026-09-15T14:15:00Z,system
